id,srno,assurance_date,ministry,subject,sessionNo,assuranceNo,source,clubbedMembers
182,85,2002-12-13,AGRICULTURE,Funds to drought/flood affected States,,197/446,SQ 342,
183,85,2002-05-10,HOME AFFAIRS,"Discussion on the constitution amendment Bill,1998(to amend the Eighth Schedule)",,195/533,,
184,86,2007-05-04,RAILWAYS,Running train on brand name of companies,,210/308,USQ 3314,
185,86,2007-05-03,EXTERNAL AFFAIRS,Indian tourists missing in Spain,,210/284,SQ 407,
186,86,2006-12-05,FINANCE,Loan disbursal by banks in Bihar,,209/173,USQ 1394,
187,86,2006-03-17,RAILWAYS,Accident of Rajdhani Express,,207/212,USQ 2539,
188,86,2001-08-20,HEALTH AND FAMILY WELFARE,Amount spent on the treatment of ex-Prime Ministers/Ministers in foreign countries,,193/147,USQ 2901,
189,86,2007-03-02,RAILWAYS,Retail trade,,210/50,USQ 524,
190,1900,2009-12-15,RURAL DEVELOPMENT,Redefining BPL criteria,,218/300,USQ 2899,
191,1900,2009-08-04,HUMAN RESOURCE DEVELOPMENT,Access to higher education,,217/471,USQ 3434,
192,1900,2009-07-30,SOCIAL JUSTICE AND EMPOWERMENT,Reservation of OBC,,217/417,USQ 2975,
193,1900,2009-07-21,HUMAN RESOURCE DEVELOPMENT,Access to higher education for all,,217/284,USQ 1887,
194,1900,2008-12-23,CORPORATE AFFAIRS,contribution of navratna comapnies to the National Exchequer,,214/211,USQ 2354,
195,1900,2008-12-22,LAW  AND JUSTICE,pending cases in Guwahati High Court,,214/203,USQ 2236,
196,1900,2008-04-16,HOME AFFAIRS,Barbed wire fencing along international border,,213/227,SQ 342,
197,1900,2007-11-29,DEVELOPMENT OF NORTH EASTERN REGION,NEC projects,,212/189,USQ 1043,
198,1900,2007-05-16,HOME AFFAIRS,Incidence of cross-border intrusion,,210/394,SQ 581,
199,1900,2007-05-11,"CONSUMER AFFAIRS, FOOD AND PUBLIC DISTRIBUTION",Essential commodities through FPSs,,210/372,USQ 4024,
200,1900,2006-12-07,"SHIPPING, ROAD TRANSPORT AND HIGHWAYS",,,209/125,SQ 227,
201,1900,2006-03-07,FINANCE AND COMPANY AFFAIRS,Lending by banks for self employment,,207/145,USQ 1544,
202,1900,2006-03-06,DEVELOPMENT OF NORTH EASTERN REGION,Projects for development of NER,,207/131,SQ 201,
203,1900,2005-12-12,URBAN DEVELOPMENT,Development of capital complex at Agartala,,206/191,USQ 2092,
204,1900,2005-08-18,SMALL SCALE INDUSTRIES,Promotional activities by SIDO,,205/357,USQ 2644,
205,1900,2005-08-09,FINANCE AND COMPANY AFFAIRS,Sale of shares of Government establishments,,205/171,USQ 1605,
206,1900,2005-05-13,RAILWAYS,Construction work from Agartala to Sabroom,,204/657,USQ 5535,
207,1900,2005-05-10,FINANCE AND COMPANY AFFAIRS,Self employment schemes,,204/546,USQ 4986,
208,1900,2005-05-02,DEVELOPMENT OF NORTH EASTERN REGION,NEC roads,,204/470,USQ 4034,
209,1900,2005-03-23,POWER,Unspent money of rural electrification,,204/357,SQ 317,
210,1900,2005-04-19,CIVIL AVIATION,Abandoned airports in Tripura,,204/305,USQ 2789,
211,1900,2005-03-18,AGRICULTURE,Suicides by farmers,,204/142,USQ 1866,
212,1900,2004-08-23,DEVELOPMENT OF NORTH EASTERN REGION,Establishment of institutions in NER,,202/178,USQ 1976,
213,1900,2004-08-16,LAW  AND JUSTICE,Pending cases,,202/117,USQ 1284,
214,1900,2003-12-09,CIVIL AVIATION,Air service between Agartala and Kolkata,,200/207,SQ 114,
215,1900,2003-08-07,DEVELOPMENT OF NORTH EASTERN REGION,"Assistance to Tripura under the non-lapsable, central pool resources",,199/124,USQ 1980,
216,1900,2002-12-11,TEXTILES,Jute mills in the country,,197/438,USQ 2194,
217,1900,2002-12-10,FINANCE AND COMPANY AFFAIRS,Chalapathi Rao`s recommendations on RRBS,,197/201,USQ 2021,
218,1900,2002-08-05,HEALTH AND FAMILY WELFARE,Proposals submitted by Government of Tripura,,196/114,USQ 1952,
219,1900,2008-10-23,ATOMIC ENERGY,untapped reserves of Uranium in India,,214/82,SQ 83,N.K. SINGH
220,1900,2006-11-30,DEVELOPMENT OF NORTH EASTERN REGION,Projects forwarded to NEC from States,,209/85,USQ 910,
221,1900,2005-08-02,CIVIL AVIATION,Utilisation of Rupsi Airport,,205/98,SQ 121,
222,1900,2004-07-23,HEALTH AND FAMILY WELFARE,Proposals of STate Govenment of Tripura,,202/97,USQ 1116,
223,1900,2004-07-12,DEVELOPMENT OF NORTH EASTERN REGION,Projects for NER,,202/33,USQ 184,
