edu_code,edu_name
-1,                                                            
10,M. Phil.                                                    
11,Doctorate                                                   
12,Post Doctorate                                              
13,Others                                                      
14,Undergraduate                                               
15,F.C.A.                                                      
2,Under Matriculate                                           
3,Matriculation                                               
4,Intermediate                                                
5,Diploma                                                     
6,P.G. Diploma                                                
7,Graduation                                                  
8,Post Graduation                                             
