id,srno,eventDate,subject_title,debateType,sizeOfVideo,videoUrl
1,10,2025-12-01,Felicitations to the Honourable Chairman,Business of House,145 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video8569-12-01-2025.mp4?source=membersrsmedia
2,10,2025-07-24,Farewell to the Retiring Members,Submission by members,46 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video7980-07-24-2025.mp4?source=membersrsmedia
3,10,2025-02-03,BIRTHDAY GREETINGS,Announcement by Chair,18 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video6210-02-03-2025.mp4?source=membersrsmedia
4,10,2024-02-02,Birthday Greetings in advance,Announcement by Chair,53 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video3731-02-02-2024.mp4?source=membersrsmedia
5,10,2022-12-16,Parliamentary Question,Question Hour,71 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video731-16-12-2022.mp4?source=membersrsmedia
6,10,2022-12-09,Question Hour,Question Hour,75 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video275-09-12-2022.mp4?source=membersrsmedia
7,10,2022-12-07,"Felicitation to the Honourable Chairman, Rajya Sabha",Submission by members,38 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video95-07-12-2022.mp4?source=membersrsmedia
8,74,2025-12-16,Discussion on Election Reforms,Business of House,83 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video9499-12-16-2025.mp4?source=membersrsmedia
9,74,2025-12-10,Discussion on the 150th Anniversary of the National Song Vande Mataram,Business of House,147 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video9247-12-10-2025.mp4?source=membersrsmedia
10,74,2025-07-30,Discussion on Operation Sindoor,Business of House,173 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video8093-07-30-2025.mp4?source=membersrsmedia
11,74,2025-04-03,The Waqf Amendment Bill 2025 and The Mussalman Wakf Repeal Bill 2024,Government Bills,319 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video7800-04-03-2025.mp4?source=membersrsmedia
12,74,2025-02-11,Disscussion on Union Budget 2025-26,Union Budget,266 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video6644-02-11-2025.mp4?source=membersrsmedia
13,74,2024-12-16,Discussion on 75th years of Constitution of India,Business of House,200 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video6088-12-16-2024.mp4?source=membersrsmedia
14,74,2024-08-08,Birthday Greetings,Special Mention,73 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video5507-08-08-2024.mp4?source=membersrsmedia
15,74,2024-07-25,Discussion on Union Budget 2024-2025,Union Budget,264 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video4695-07-25-2024.mp4?source=membersrsmedia
16,74,2023-09-21,"The Constitution (One Hundred and Twenty Eighth Amendment) BIll, 2023",Government Bills,81 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video2716-09-21-2023.mp4?source=membersrsmedia
17,74,2023-09-20,Discussion on India s Glorious Space Journey Marked by Successful Soft Landing of Chandrayaan - 3,Discussion Under Rule 193,138 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video2574-20-09-2023.mp4?source=membersrsmedia
18,74,2022-07-22,Oath,Motion of thanks to the President's Address,34 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video56-22-07-2022.mp4?source=membersrsmedia
19,74,2022-07-22,Oath Taking by Shri Kapil Sibal as M.P. Rajya Sabha,Oath Taking,34 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video1348-22-07-2022.mp4?source=membersrsmedia
20,74,2022-07-18,Oath Taking,Oath Taking,13 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video1393-18-07-2022.mp4?source=membersrsmedia
21,89,2025-08-04,Obituary Reference of Shri Shibu Soren,Obituary Reference,56 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video8163-08-04-2025.mp4?source=membersrsmedia
22,109,2025-12-18,Question Hour,Question Hour,110 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video9777-12-18-2025.mp4?source=membersrsmedia
23,109,2025-12-18,Discussion on The Sustainable Harnessing and Advancement of Nuclear Energy for Transforming India Bill 2025,Government Bills,98 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video9835-12-18-2025.mp4?source=membersrsmedia
24,109,2025-12-15,Discussion on Election Reforms.,Business of House,323 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video9597-12-15-2025.mp4?source=membersrsmedia
25,109,2025-12-11,Reports of the Department related to Parliamentary Standing Committee on Health and Family Welfare,Parliamentary Committees,42 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video9289-12-11-2025.mp4?source=membersrsmedia
26,109,2025-07-29,Discussion on Operation Sindoor,Business of House,157 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video8047-07-29-2025.mp4?source=membersrsmedia
27,109,2025-07-24,Farewell to the Retiring Members,Submission by members,84 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video7982-07-24-2025.mp4?source=membersrsmedia
28,109,2025-04-03,The Waqf Amendment Bill 2025 and The Mussalman Wakf Repeal Bill 2024,Government Bills,201 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video7798-04-03-2025.mp4?source=membersrsmedia
29,109,2025-04-01,Hon. Member Presented his Opinion in the House,Special Mention,24 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video7603-04-01-2025.mp4?source=membersrsmedia
30,109,2025-03-19,Matters raised with the permission of Chair,Special Mention,57 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video7184-03-19-2025.mp4?source=membersrsmedia
31,109,2025-02-10,General Discussion on the Union Budget 2025-26,Union Budget,99 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video6576-02-10-2025.mp4?source=membersrsmedia
32,109,2025-02-06,Deportation of Indians from United States of America,Submission by members,17 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video6391-02-06-2025.mp4?source=membersrsmedia
33,109,2024-12-17,Discussion on 75th years of Constitution of India,Business of House,111 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video6144-12-17-2024.mp4?source=membersrsmedia
34,109,2024-12-05,Question hour,Question Hour,62 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video5875-12-05-2024.mp4?source=membersrsmedia
