id,srno,session,daysPresent,daysAbsent,attendancePercentage
1,2,Budget Session,9,0,100.0
2,2,Winter Session,15,0,100.0
3,2,Special Session,4,0,100.0
4,2,Monsoon Session,17,0,100.0
5,2,Budget Session,25,0,100.0
6,2,Winter Session,13,0,100.0
7,2,Monsoon Session,16,0,100.0
8,2,Budget Session,29,0,100.0
9,2,Winter Session,18,0,100.0
10,2,Monsoon Session,17,0,100.0
11,2,Budget Session,33,0,100.0
12,2,Monsoon Session,18,0,100.0
13,2,Budget Session,34,0,100.0
14,2,Winter Session,20,0,100.0
15,2,Budget Session,10,0,100.0
16,2,Winter Session,18,0,100.0
17,2,Monsoon Session,17,0,100.0
18,2,Budget Session,22,0,100.0
19,2,Budget Session,8,0,100.0
20,2,Winter Session,13,0,100.0
21,2,Monsoon Session,19,0,100.0
22,2,Budget Session,21,0,100.0
23,2,Budget Session,8,0,100.0
24,2,Winter Session,21,0,100.0
25,2,Monsoon Session,20,0,100.0
26,2,Budget Session,15,0,100.0
27,2,Budget Session,16,0,100.0
28,2,Winter Session,20,0,100.0
29,2,Monsoon Session,17,0,100.0
30,2,Budget Session,13,0,100.0
31,2,Budget Session,19,0,100.0
32,2,Winter Session,22,0,100.0
33,2,Budget Session,27,0,100.0
34,2,Special Session,3,0,100.0
35,2,Winter Session,12,0,100.0
36,2,Winter Session,10,0,100.0
37,2,Monsoon Session,21,0,100.0
38,2,Budget Session,11,0,100.0
39,2,Budget Session,21,0,100.0
40,2,Winter Session,20,0,100.0
41,2,Monsoon Session,19,0,100.0
42,2,225th Part-2,21,0,100.0
43,2,225th Part-1,14,0,100.0
44,2,Winter Session,24,0,100.0
45,2,Monsoon Session,26,0,100.0
46,2,Budget Session,23,0,100.0
47,2,Winter Session,23,0,100.0
48,2,Monsoon Session,26,0,100.0
49,2,219th Part-2,17,0,100.0
50,2,219th Part-1,15,0,100.0
51,2,Winter Session,23,0,100.0
52,2,Budget Session,26,0,100.0
53,2,Special Session,4,0,100.0
54,2,Budget Session,10,0,100.0
55,2,214th Part2,10,0,100.0
56,2,214th Part-1,6,0,100.0
57,2,Budget Session,35,0,100.0
58,2,Winter Session,17,0,100.0
59,8,Budget Session,35,0,100.0
60,8,Winter Session,17,0,100.0
61,10,Winter Session,15,0,100.0
62,10,Monsoon Session,21,0,100.0
63,10,Budget Session,27,0,100.0
64,10,Winter Session,19,0,100.0
65,10,Monsoon Session,16,0,100.0
66,10,Special Session,5,0,100.0
67,10,Budget Session,9,0,100.0
68,10,Winter Session,15,0,100.0
69,10,Special Session,4,0,100.0
70,10,Monsoon Session,17,0,100.0
71,10,Budget Session,25,0,100.0
72,10,Winter Session,13,0,100.0
73,10,Monsoon Session,16,0,100.0
74,10,Budget Session,29,0,100.0
75,10,Winter Session,18,0,100.0
76,10,Monsoon Session,17,0,100.0
77,10,Budget Session,33,0,100.0
78,10,Monsoon Session,18,0,100.0
79,10,Budget Session,34,0,100.0
80,10,Winter Session,20,0,100.0
81,10,Monsoon Session,35,0,100.0
82,10,Budget Session,10,0,100.0
83,10,Winter Session,18,0,100.0
84,10,Monsoon Session,17,0,100.0
85,10,Budget Session,22,0,100.0
86,10,Budget Session,8,0,100.0
87,10,Winter Session,13,0,100.0
88,10,Monsoon Session,19,0,100.0
89,10,Budget Session,21,0,100.0
90,10,Budget Session,8,0,100.0
91,10,Winter Session,21,0,100.0
92,10,Monsoon Session,20,0,100.0
93,10,Budget Session,15,0,100.0
94,10,Budget Session,16,0,100.0
95,10,Winter Session,20,0,100.0
