id,srno,billno,billName,introducedInHouse,introducedDate,ministry,member,billCategory,datePassed_in_LS,datePassed_in_RS,reportPresented,actNoAndYear,status,pdfUrl
1,2317,XL,"The Safeguarding and Adjudicating Farmers’ Economic Rights Commission Bill, 2018",Rajya Sabha,2019-07-12,AGRICULTURE,Partap Singh Bajwa Shri,Ordinary Bill,,,,,Lapsed,https://sansad.in/getFile/BillsTexts/RSBillTexts/Asintroduced/safeguarding-E-12719.pdf?source=legislation
2,1922,XVI,"The National Films Development Authority Bill, 2006",Rajya Sabha,2007-03-16,INFORMATION AND BROADCASTING,Hema Malini Smt.,Ordinary Bill,,,,,Lapsed,https://sansad.in/getFile/BillsTexts/RSBillTexts/Asintroduced/1203rs.pdf?source=legislation
3,1922,XVIII,"The Jhuggi-Jhopri, Slums and Pavement Dwellers (Basic Amenities, Welfare and Miscellaneous Provisions) Bill, 2006",Rajya Sabha,2007-03-16,HOUSING AND URBAN POVERTY ALLEVIATION,Hema Malini Smt.,Ordinary Bill,,,,,Lapsed,https://sansad.in/getFile/BillsTexts/RSBillTexts/Asintroduced/1205rs.pdf?source=legislation
4,1922,XCI,"The Film Industry (Protection and Promotion) Bill, 2005",Rajya Sabha,2005-09-12,INFORMATION AND BROADCASTING,Hema Malini Smt.,Ordinary Bill,,,,,Lapsed,
5,1548,LIV,"Teh pensions (Regnlation) Bill,1974.",Rajya Sabha,1975-03-14,,Viswanatha Menon Shri,Ordinary Bill,,,,,Withdrawn,
6,1161,I,"The Punishment for Molestation of Women Bill, 1958",Rajya Sabha,1958-02-21,HOME AFFAIRS,Savitry Devi Nigam Smt.,Ordinary Bill,,,,,Lapsed,
7,2320,XXXIX,"The Scheduled Castes and the Scheduled Tribes (Prevention of Atrocities) Amendment Bill, 2021.",Rajya Sabha,2021-12-03,SOCIAL JUSTICE AND EMPOWERMENT,Narendra Jadhav Dr.,Ordinary Bill,,,,,Lapsed,https://sansad.in/getFile/BillsTexts/RSBillTexts/Asintroduced/SC ST atrocity-E.pdf?source=legislation
8,2320,LVI,"The Foreign Investment in Financial Services, Critical Infrastructure and Technology Affecting National Security (Regulation) Bill, 2018",Rajya Sabha,2019-06-21,FINANCE,Narendra Jadhav Dr.,Ordinary Bill,,,,,Withdrawn,https://sansad.in/getFile/BillsTexts/RSBillTexts/Asintroduced/foreign inv-E-21619.pdf?source=legislation
9,776,VI,"The High Court of Kerala (Establishment of a Permanent  bench at Trivandrem ) Bill , 1985",Rajya Sabha,1985-03-29,,K. Vasudeva Panicker Shri,Ordinary Bill,,,,,Lapsed,
10,776,VII,The Constitution (Amendment) Bill 1985( to amend article 130),Rajya Sabha,1985-03-29,,K. Vasudeva Panicker Shri,Ordinary Bill,,,,,Withdrawn,
