id,srno,committeeName,status,house,Date
1,2353,"Transport, Tourism and Culture",Member,Rajya Sabha,2025-09-26
2,2353,Privileges,Member,Rajya Sabha,2025-10-31
3,2353,"Joint Committee on the Multi-State Co-operative Societies (Amendment) Bill, 2022",Member,Lok Sabha,2022-12-29
4,2353,Public Undertakings,Member,Lok Sabha,2025-05-01
5,2360,Committee in the Rajya Sabha to study the alarming issue of pornography on social media and its effect on children and society as a whole,Member,Rajya Sabha,2019-12-12
6,1034,"Science and Technology, Environment, Forests and Climate Change",Chairman,Rajya Sabha,2025-09-26
7,1034,Rules,Member,Rajya Sabha,2025-11-10
8,1034,General Purposes Committee,Member,Rajya Sabha,2025-11-13
9,1034,"Joint Committee on the Constitution (One Hundred and Twenty-Ninth Amendment) Bill, 2024 and the Union Territories Laws (Amendment) Bill, 2024",Member,Lok Sabha,2024-12-23
10,2372,Committee in the Rajya Sabha to study the alarming issue of pornography on social media and its effect on children and society as a whole,Member,Rajya Sabha,2019-12-12
11,2372,Ethics,Member,Rajya Sabha,2024-10-10
12,2372,Business Advisory Committee,Member,Rajya Sabha,2024-11-25
13,2372,Home Affairs,Member,Rajya Sabha,2025-09-26
14,2372,General Purposes Committee,Member,Rajya Sabha,2025-11-13
15,2372,"Joint Committee on the Constitution (One Hundred and Twenty-Ninth Amendment) Bill, 2024 and the Union Territories Laws (Amendment) Bill, 2024",Member,Lok Sabha,2024-12-23
16,2372,"Joint Committee on the Waqf (Amendment) Bill, 2024",Member,Lok Sabha,2024-08-13
17,109,Rules,Member,Rajya Sabha,2024-12-31
18,109,Health and Family Welfare,Chairman,Rajya Sabha,2025-09-26
19,109,General Purposes Committee,Member,Rajya Sabha,2025-11-13
20,109,"Joint Committee on the Biological Diversity (Amendment) Bill, 2021",Member,Lok Sabha,2021-12-20
21,109,"Joint Committee on the Personal Data Protection Bill, 2019",Member,Lok Sabha,2021-08-05
22,2374,Petitions,Chairman,Rajya Sabha,2024-10-22
23,2374,General Purposes Committee,Member,Rajya Sabha,2025-11-13
24,2374,Finance,Member,Lok Sabha,2025-09-26
25,2374,"Joint Committee on the Jan Vishwas (Amendment of Provisions) Bill, 2022",Member,Lok Sabha,2022-12-22
26,2377,Chemicals & Fertilizers,Member,Lok Sabha,2025-09-26
27,2379,Information and Communication Technology Management in Rajya Sabha,Member,Rajya Sabha,2024-10-23
28,2379,Petroleum & Natural Gas,Member,Lok Sabha,2025-09-26
29,1929,"Labour, Textiles and Skill Development",Member,Lok Sabha,2025-09-26
30,2381,Committee in the Rajya Sabha to study the alarming issue of pornography on social media and its effect on children and society as a whole,Member,Rajya Sabha,2019-12-12
31,2384,House Committee,Member,Rajya Sabha,2024-04-02
32,2384,Housing and Urban Affairs,Member,Lok Sabha,2025-09-26
33,2386,"Joint Committee on the Waqf (Amendment) Bill, 2024",Member,Lok Sabha,2024-08-13
34,2386,"Labour, Textiles and Skill Development",Member,Lok Sabha,2025-09-26
35,1935,Committee in the Rajya Sabha to study the alarming issue of pornography on social media and its effect on children and society as a whole,Chairman,Rajya Sabha,2019-12-12
36,1935,Business Advisory Committee,Member,Rajya Sabha,2024-11-25
37,1935,"Science and Technology, Environment, Forests and Climate Change",Member,Rajya Sabha,2025-09-26
38,1935,"Joint Committee on the Personal Data Protection Bill, 2019",Member,Lok Sabha,2019-12-11
39,2396,"Joint Committee on the Biological Diversity (Amendment) Bill, 2021",Member,Lok Sabha,2021-12-20
40,1945,Home Affairs,Member,Rajya Sabha,2025-09-26
41,2398,"Joint Committee on the Forest (Conservation) Amendment Bill, 2023",Member,Lok Sabha,2023-03-29
42,2400,"Joint Committee on the Jan Vishwas (Amendment of Provisions) Bill, 2022",Member,Lok Sabha,2022-12-22
43,138,"Science and Technology, Environment, Forests and Climate Change",Member,Rajya Sabha,2025-09-26
44,2404,"Joint Committee on the Forest (Conservation) Amendment Bill, 2023",Member,Lok Sabha,2023-03-29
45,2409,"Joint Committee on the Forest (Conservation) Amendment Bill, 2023",Member,Lok Sabha,2023-03-29
46,2413,"Joint Committee on the Forest (Conservation) Amendment Bill, 2023",Member,Lok Sabha,2023-03-29
47,1964,Committee in the Rajya Sabha to study the alarming issue of pornography on social media and its effect on children and society as a whole,Member,Rajya Sabha,2019-12-12
48,1964,Housing and Urban Affairs,Member,Lok Sabha,2025-09-26
49,2416,Subordinate Legislation,Member,Rajya Sabha,2024-10-22
50,2416,Industry,Member,Rajya Sabha,2025-09-26
51,2419,"Joint Committee on the Personal Data Protection Bill, 2019",Member,Lok Sabha,2021-08-05
52,2423,Ethics,Member,Rajya Sabha,2024-10-10
53,2423,General Purposes Committee,Member,Rajya Sabha,2025-11-13
54,2423,Communications and Information Technology,Member,Lok Sabha,2025-09-26
55,2423,Library Committee,Member,Lok Sabha,2023-10-09
56,2424,Committee in the Rajya Sabha to study the alarming issue of pornography on social media and its effect on children and society as a whole,Member,Rajya Sabha,2019-12-12
57,2424,"Joint Committee on the Biological Diversity (Amendment) Bill, 2021",Member,Lok Sabha,2021-12-20
58,2424,"Joint Committee on the Personal Data Protection Bill, 2019",Member,Lok Sabha,2019-12-11
59,2431,Energy,Member,Lok Sabha,2025-09-26
60,2431,"Joint Committee on the Constitution (One Hundred and Twenty-Ninth Amendment) Bill, 2024 and the Union Territories Laws (Amendment) Bill, 2024",Member,Lok Sabha,2024-12-23
61,2437,Chemicals & Fertilizers,Member,Lok Sabha,2025-09-26
62,2437,"Consumer Affairs, Food and Public Distribution",Member,Lok Sabha,2025-09-26
63,2437,Public Undertakings,Member,Lok Sabha,2025-05-01
64,2436,Privileges,Member,Rajya Sabha,2025-10-31
65,2436,Business Advisory Committee,Member,Rajya Sabha,2024-11-25
66,2436,Defence,Member,Lok Sabha,2025-09-26
