srno,questionsCount,billsCount,committeeCount,debatesCount,assurancesCount,specialMentionsCount
1,491,0,0,0,38,2
2,197,0,0,0,18,2
3,0,0,0,0,2,0
4,0,0,0,0,10,0
5,644,8,0,0,45,20
6,0,0,0,0,49,0
7,350,0,0,0,18,2
8,476,0,0,0,9,0
9,4,0,0,0,0,0
10,982,0,4,0,43,0
11,0,0,0,0,0,0
12,146,0,0,0,0,0
13,0,10,0,0,6,0
14,0,0,0,0,12,0
15,0,0,0,0,1,1
16,0,1,0,0,48,12
17,0,1,0,0,30,14
18,29,0,0,0,2,1
19,0,0,0,0,9,1
20,0,14,0,0,54,16
21,349,0,0,0,36,1
22,0,0,0,0,1,0
23,300,4,0,0,26,14
24,0,0,0,0,0,0
25,448,0,0,0,25,0
26,0,0,0,0,0,0
27,9,1,0,0,1,0
28,0,0,0,0,64,0
29,1930,2,0,0,66,1
30,0,0,0,0,0,2
32,0,2,0,0,19,3
33,0,0,0,0,0,0
35,330,0,0,0,28,0
36,0,0,0,0,43,10
37,0,0,0,0,2,0
38,0,0,0,0,8,0
39,0,1,0,0,40,5
40,0,0,0,0,23,3
42,0,0,0,0,5,0
43,1751,13,0,0,135,49
44,44,0,0,0,5,0
45,0,0,0,0,6,5
46,0,5,0,0,21,2
47,0,0,0,0,0,0
48,0,0,0,0,0,0
49,0,7,0,0,39,0
50,117,0,0,0,11,0
51,0,0,0,0,6,0
54,0,0,0,0,0,0
55,0,0,0,0,7,0
56,0,2,0,0,64,16
57,0,3,0,0,14,16
58,0,0,0,0,0,0
59,0,0,0,0,22,0
60,0,0,0,0,1,0
61,0,0,0,0,1,12
62,0,0,0,0,33,13
63,0,0,0,0,65,6
64,0,0,0,0,15,1
65,0,0,0,0,22,0
66,0,2,0,0,35,12
67,0,0,0,0,22,0
68,0,0,0,0,2,0
69,0,0,0,0,51,2
70,0,0,0,0,9,0
71,0,0,0,0,4,0
72,0,0,0,0,2,0
73,1610,1,0,0,127,18
74,1135,0,1,0,69,0
75,0,0,0,0,3,1
76,0,0,0,0,13,1
77,0,0,0,0,1,0
78,0,0,0,0,57,1
79,0,2,0,0,23,0
81,3,0,0,0,0,0
82,267,4,0,0,38,1
83,1507,1,0,0,81,1
84,0,0,0,0,13,0
85,0,2,0,0,2,0
86,0,0,0,0,6,7
87,9,0,0,0,1,2
88,0,1,0,0,23,1
89,122,0,0,0,7,0
90,0,0,0,0,0,1
91,0,0,0,0,6,0
92,0,0,0,0,2,0
93,0,5,0,0,25,0
94,465,22,0,0,34,10
95,0,0,0,0,4,0
96,0,5,0,0,45,11
97,0,0,0,0,6,0
98,0,0,0,0,24,0
99,0,0,0,0,23,2
100,0,0,0,0,17,13
101,0,0,0,0,2,0
102,0,3,0,0,51,36
103,0,2,0,0,143,14
104,57,0,0,0,7,1
105,0,0,0,0,7,3
106,0,0,0,0,16,0
107,174,0,0,0,9,0
108,0,0,0,0,11,0
109,280,0,5,0,18,3
110,0,0,0,0,0,0
111,0,1,0,0,17,5
112,0,1,0,0,21,3
113,100,0,0,0,8,0
114,1076,0,0,0,62,26
115,1829,5,0,0,121,10
116,736,0,0,0,22,4
117,298,0,0,0,26,7
118,875,125,0,0,103,9
119,12,17,0,0,22,1
120,24,0,0,0,3,0
121,408,6,0,0,31,1
122,1,0,0,0,5,0
123,682,0,0,0,54,1
124,60,1,0,0,11,0
125,170,0,0,0,19,3
126,526,1,0,0,28,0
127,199,0,0,0,20,23
128,98,0,0,0,5,10
129,134,0,0,0,14,31
130,818,0,0,0,58,0
131,355,0,0,0,45,19
132,1,0,0,0,1,0
133,486,0,0,0,21,1
134,610,0,0,0,45,21
135,1718,30,0,0,103,78
136,367,0,0,0,43,8
137,0,0,0,0,1,0
138,481,0,1,0,30,4
139,170,0,0,0,5,0
140,1121,11,0,0,83,25
141,12,0,0,0,2,0
142,252,0,0,0,12,3
143,705,0,0,0,67,8
144,0,0,0,0,0,0
145,985,0,0,0,33,0
146,41,0,0,0,4,0
147,11,0,0,0,4,0
148,389,0,0,0,16,10
149,139,0,0,0,3,0
150,36,0,0,0,3,1
151,108,1,0,0,5,0
152,349,0,0,0,41,8
153,2,0,0,0,4,0
154,735,0,0,0,43,2
155,2339,33,0,0,143,68
156,364,1,0,0,29,2
157,90,0,0,0,8,22
158,47,0,0,0,6,0
159,110,0,0,0,10,0
160,57,0,0,0,5,0
161,767,2,0,0,21,2
162,807,0,0,0,61,0
163,0,0,0,0,0,0
164,491,1,0,0,34,6
165,378,0,0,0,15,9
166,0,0,0,0,2,0
167,365,6,0,0,27,4
168,146,2,0,0,14,3
169,216,0,0,0,9,0
170,4,0,0,0,1,0
171,0,0,0,0,0,0
172,111,5,0,0,12,16
173,43,1,0,0,1,1
174,0,0,0,0,8,2
175,1150,1,2,0,82,21
176,0,0,0,0,0,2
177,936,8,7,0,18,32
178,0,0,0,0,31,0
179,0,0,0,0,0,0
180,0,0,0,0,12,0
181,0,0,0,0,63,5
182,0,1,0,0,3,0
183,0,0,0,0,0,0
184,0,1,0,0,85,2
185,0,7,0,0,12,0
186,0,1,0,0,2,1
187,0,0,0,0,6,0
188,0,18,0,0,81,17
189,0,0,0,0,21,0
190,46,0,0,0,15,1
191,0,0,0,0,1,0
192,0,0,0,0,13,1
193,0,4,0,0,4,0
194,192,3,0,0,15,0
195,0,0,0,0,5,0
196,0,0,0,0,6,2
197,0,1,0,0,52,2
198,157,0,0,0,3,1
199,0,0,0,0,17,0
200,0,150,0,0,26,5
201,0,10,0,0,100,9
202,0,1,0,0,12,10
203,0,14,0,0,47,23
204,0,6,0,0,57,3
205,688,6,0,0,24,5
206,0,0,0,0,36,1
207,0,0,1,0,0,0
208,19,0,3,0,4,0
209,0,4,0,0,26,0
210,0,0,0,0,34,8
211,0,7,0,0,45,6
212,6,0,0,0,5,0
213,78,0,0,0,4,5
214,1318,0,0,0,60,0
215,679,0,0,0,76,1
216,31,0,0,0,4,0
217,0,4,0,0,47,31
218,0,0,0,0,29,8
219,0,2,0,0,31,10
220,0,0,0,0,2,0
221,0,0,0,0,1,0
222,0,2,0,0,52,36
223,0,6,0,0,123,16
224,0,0,0,0,17,0
225,0,0,0,0,5,4
226,0,0,0,0,30,2
227,809,9,0,0,36,11
228,0,0,0,0,2,0
229,0,0,0,0,35,2
230,0,1,0,0,25,5
231,0,1,0,0,82,41
232,0,0,0,0,5,4
233,0,0,0,0,0,6
234,0,2,0,0,54,27
235,0,1,0,0,11,3
236,0,0,0,0,0,0
237,0,3,0,0,111,38
238,220,0,3,0,6,11
239,361,1,0,0,38,16
240,0,15,0,0,96,3
241,0,0,0,0,99,34
242,0,9,0,0,42,1
243,0,0,0,0,1,1
244,0,0,0,0,82,0
245,1088,0,0,0,68,4
246,0,0,0,0,19,0
247,0,0,0,0,18,0
248,0,0,0,0,0,0
249,0,0,0,0,32,0
250,0,0,0,0,28,3
251,576,6,0,0,64,15
252,261,3,0,0,6,0
253,380,0,0,0,16,0
254,0,0,0,0,0,0
255,2,2,0,0,1,0
257,0,0,0,0,12,0
258,604,4,0,0,28,1
259,7,0,0,0,0,0
260,0,0,0,0,0,0
261,0,0,0,0,0,0
262,0,0,0,0,0,0
263,0,0,0,0,0,0
264,0,0,0,0,0,0
265,0,0,0,0,0,0
266,0,1,0,0,0,0
267,0,0,0,0,0,0
268,0,0,0,0,0,0
269,0,0,0,0,0,0
270,309,0,0,0,25,2
271,0,0,0,0,0,0
272,0,0,0,0,0,0
273,0,1,0,0,0,0
274,0,0,0,0,0,0
275,0,1,0,0,1,0
276,0,0,0,0,0,0
277,0,0,0,0,0,0
278,0,0,0,0,0,0
279,0,0,0,0,0,0
280,142,0,0,0,0,0
281,0,0,0,0,0,0
282,0,0,0,0,0,0
283,0,2,0,0,0,0
284,0,0,0,0,0,0
285,0,0,0,0,0,0
286,0,0,0,0,0,0
287,0,0,0,0,0,0
288,0,1,0,0,0,0
289,0,0,0,0,0,0
290,0,0,0,0,0,0
291,0,0,0,0,0,0
292,0,0,0,0,0,0
293,0,0,0,0,0,0
294,0,0,0,0,0,0
295,0,0,0,0,0,0
296,0,0,0,0,0,0
297,0,0,0,0,0,0
298,0,0,0,0,0,0
299,0,0,0,0,0,0
300,0,0,0,0,0,0
301,19,0,0,0,2,0
302,133,0,0,0,12,0
303,0,0,0,0,0,0
304,0,0,0,0,0,0
305,0,0,0,0,0,0
306,0,0,0,0,0,0
307,0,0,0,0,0,0
926,0,0,0,0,0,0
1312,0,0,0,0,0,0
1594,0,0,0,0,0,0
1879,0,0,0,0,7,1
2372,627,5,7,0,11,16
2498,470,18,2,0,28,17
2536,200,0,4,0,9,0
2594,24,0,1,0,0,0
