srno,freedomFighter,countriesVisited,booksPublished,sportsInterests,socialActivities,otherInformation
1,No,"Erstwhile Soviet Union, China, Philippines, Norway, Germany, Italy, Switzerland, France, U.K., Iraq and Vietnam",Several hundred pamphlets on Trade Union movement and workers right; writing regularly on social science and child right in periodicals,,"Associated with cultural activities with several organisations around Durgapur and movement for child rights; Founder Vice-President, Durgapur Children Academy of Culture, an institution building - a first ever child city complex in India; heading an institution under Children Academy engaged in multimedia application in general education, computer literacy and scientific mind - moulding from childhood multimedia application in general education, computer literacy and scientific mind - moulding from childhood","Joined service at the age of sixteen in 1956 in Indian Bureau of Mines as a daily rated workman; worked in N.C.D.C. for a brief period of six months; joined Durgapur Steel Plant, (erstwhile H.S.L.) in the year 1958; one of the Founders of Hindustan Steel Employees Union, Durgapur, the largest Trade Union under C.I.T.U. and became its Secretary at the age of twenty; joined undivided Communist Party in the year 1961; shifted to C.P.I. (M) when the party was split in 1964; detained without trial once in 1968 and for a year during 1970-71; imprisoned for a number of times between 1968 and 1972; played a leading role in forming trade unions in a number of Steel Plants spread over the country; founded the Steel Workers Federation of India in 1980 and became its General Secretary till shifting to Delhi to take charge as National Secretary of C.I.T.U. in 1989; resigned from Steel Authority of India Limited in 1989 after rendering 32 years of service to Durgapur Steel Plant; represented Indian Trade Union in the International Conference on 150th anniversary of writing of the Communist Manifesto by Karl Marx, Paris, 13-16 May 1998"
2,No,"Travelled extensively in Europe, North America, Latin America, Africa and Asia","Author of (i) ""India's Export Trends and Prospects for Self-Sustained Growth"", Clarendon Press, Oxford University, 1964 and (ii) ""changing India"" Collection of articles and speeches, 1960-2014, five volumes, Oxford, 2018; also published a large number of articles in various economic journals","Life Member, (i) India Habitat Centre, (ii) Bhai Vir Singh Sahitya Sadan, (iii) India International Centre, (iv) Indian Economic Association and (v) Gymkhana Club, New Delhi; reading and writing","Recipient of honorary degrees of D. Litt. from Panjab University, Chandigarh, Guru Nanak University, Amritsar, Delhi University, Delhi, Sri Venkateshwara University, Tirupathi, Punjabi University, Patiala, University of Mysore, Mysore, University of Bologna, Italy, Kurukshetra University, Kurukshetra, Osmania University, Hyderabad, Nagarjuna University, Nagarjunanagar and Dr. Bhimrao Ambedkar University, Agra; recipient of honorary degree of (i) Doctor of Laws from University of Alberta, Edmonton, Canada, (ii) Doctor of Social Sciences from University of Roorkee, Roorkee, (iii) D.Sc. from Chaudhary Charan Singh Haryana Agricultural University, Hissar, (iv) Thapar Institute of Engineering and Technology, Patiala, (v) H.H. Kanchi Sri Parmacharya Award for Excellence, 1999 and (vi) Annasaheb Chirmule Award, 2000; Conferred, (i) University Medal for standing first in B.A.(Hons.), Economics, Panjab University, Chandigarh, 1952, (ii) Uttar Chand Kapur Medal, Panjab University, Chandigarh, for standing first in M.A.(Economics), 1954, (iii) Wright's Prize for distinguished performance at St. John's College, Cambridge, 1955 and 1957, (iv) Adam Smith Prize, University of Cambridge, U.K., 1956, (v) Padma Vibhushan, 1987, (vi) Euromoney Award, Finance Minister of the Year, 1993 (vii) Asiamoney Award, Finance Minister of the Year for Asia, 1993 and 1994, (viii) Jawaharlal Nehru Birth Centenary Award of the Indian Science Congress Association, 1994-95, (ix) Justice K.S. Hegde Foundation Award, 1996, (x) Nikkei Asia Prize for Regional Growth by the Nihon Keizai Shimbun, Inc. (N.I.K.K.E.I.), publisher of Japan's leading business daily,1997, (xi) Lokmanya Tilak Award by the Tilak Smarak Trust, Pune, 1997, (xii) Honorary Fellowship of AIIMS, 2005, (xiii) Honorary Degree by Oxford University, U.K., 2005, (xiv) ""Professor Honoris Causa"" by Moscow State University, 2005 and (xv) Honorary Doctorate by University of Cambridge, U.K., 2006; Doctor of Laws by the University of Alberta, Edmonton, Canada, 2010","Elected, Wrenbury Scholar, University of Cambridge, 1957; Senior Lecturer, Economics, 1957-59; Reader, Economics, 1959-63; Professor, (i) Economics, Panjab University, Chandigarh, 1963-65 and (ii) International Trade, Delhi School of Economics, University of Delhi, 1969-71; Honorary Professor, (i) Jawaharlal Nehru University, New Delhi, 1976 and (ii) Delhi School of Economics, University of Delhi, 1996; Economic Affairs Officer, 1966 and Chief, Financing for Trade Section, U.N.C.T.A.D., United Nations Secretariat, New York, 1966-69; Deputy for India in I.M.F. Committee of Twenty on International Monetary Reform, 1972-74; participated in Commonwealth Prime Ministers' Meeting, Kingston, 1975; Associate, Meetings of I.M.F. Interim Committee and Joint Fund-Bank Development Committee, 1976-80 and 1982-85; Fellow of the National Academy of Agricultural Sciences, New Delhi since 1999; National Fellow, National Institute of Education, N.C.E.R.T.,1986; Honorary Fellow, (i) St. John's College, Cambridge, U.K., 1982, (ii) Indian Institute of Bankers, 1982, (iii) All India Management Association, 1993 and (iv) Nuffield College, University of Oxford, Oxford,1994; Leader, Indian Delegation to (i) Aid-India Consortium Meetings, 1977-79, (ii) Indo-Soviet Joint Planning Group Meeting, 1980-82, (iii) Indo-Soviet Monitoring Group Meeting, 1982, (iv) Commonwealth Heads of Government Meeting, Cyprus, 1993 and (v) Human Rights World Conference, Vienna, 1993; attended as member of Indian delegations (i) Meeting of U.N.C.T.A.D. Trade and Development Board, Geneva, May 1971-July 1972, (ii) Ministerial Meeting of Group of 77, Lima, October, 1971, (iii) Third Session of U.N.C.T.A.D., Santiago, April-May, 1972, (iv) Annual Meetings of I.M.F., I.B.R.D. and Commonwealth Finance Ministers, 1972-79, (v) Aid-India Consortium Meetings, Paris, 1973-79, (vi) Cancun Summit on North-South Issues, 1981 and (vii) South - South Consultations, New Delhi, 1982; represented Secretary-General, U.N.C.T.A.D., at several Inter-Governmental meetings, including Second Session of U.N.C.T.A.D., 1968 and Committee on Invisibles and Financing related to Trade Consultant to U.N.C.T.A.D., E.S.C.A.P. and Commonwealth Secretariat; appointed as Member of a Group of Eminent Persons on Financing for Development by Secretary-General, U.N., 2000; Chairman, Commonwealth Expert Group on Development and Democracy appointed by Commonwealth Secretary General, 2001-2003; Elected Fellow of the Indian Science Congress Association in the year 2018-2019 for contribution in the field of Economics"
3,No,,,,"Set up a trust in the tribal area of District Dewas Literary, Artistic and Scientific through which an educational institute and a Accomplishments and other dispensary is being run since 1995 for the Special Interests development and welfare of people belonging to Scheduled Tribes","Was Member, Bharatiya Jana Sangh"
4,No,"Mongolia to attend a Round Table Discussion on Youth, 1988; U.S.S.R., Cuba and D.P.R. Korea, to attend Youth Festivals; Portugal to attend World Assembly of Youth; Pakistan to attend S.A.A.R.C. Speakers and Parliamentarians Conference, 1997; U.K., Russia, Vietnam, Thailand, Switzerland, Austria, Bangladesh, Nepal, U.A.E., U.S.A., Brazil, Cyprus, France, Jordan, Palestine and Israel","Ex-Member, Editorial Board Chhatra Sangram (a student journal, 1980-83); Yuba Shakti (Youth Magazine, 1984-87); Member, Editorial Board, Youth Stream (English youth magazine from Delhi) and Naujawan (Hindi youth magazine)","Reading, music, watching movies, folk culture and social gathering","Engaged in organising students and youth and founded educational institutions, library, youth clubs, cultural and literary societies for the promotion of communal harmony","Chairman, (i) West Bengal Minorities Development and Finance Corporation and (ii) Committee for National Perspective Plan for Youth; Director, West Bengal Tourism Development Corporation; Member, (i) Mohammedan Burial Board, West Bengal, 1982-91, (ii) Governing Body, West Bengal Urdu Academy since 1987, (iii) Board of Tourism and Travel Industry and (iv) Central Committee, C.P.I.(M); Co-ordinator, World Federation of Democratic Youth, Asia-Pacific region"
5,No,"U.S.S.R., U.S.A., U.K., Italy, France, Germany, Japan, Hong Kong, Malaysia, Thailand, Singapore, Canada, Mauritius, Seychelles, Switzerland, China, South Korea, North Korea, Sri Lanka, Mongolia, Nepal and Taiwan","(i) Five Year Plan in relation to the Scheduled Castes and Scheduled Tribes, (ii) Scheduled Castes and Scheduled Tribes... Their Service Privileges, (iii) The Caste War Over Reservations... A case before the People's Bar, (iv) Facilities to Buddhists converted from Scheduled Castes, (v) Dr.Babasaheb Ambedkar... Deserved the thanks of the country and (vi) Dr. Babasaheb Ambedkar Marathwada Vidhyapeeth... Petition before the people of Maharashtra","Was President, Western Indian Football Association, Bombay","Recipient of, (i) Kusta-Mitra Award and 'Friend of Leprosy Affected Persons' for rendering valuable help and assistance to leprosy affected persons, (ii) Priyadarshini Award for outstanding gallantry work in the field of social service and eradication of untouchability and leprosy by the Priyadarshini Group of Bombay, 1990-91, (iii) National Press Award for outstanding contribution to various fields of public life by the National Press India, New Delhi, 1994 and (iv) Iswari Devi Award, Hyderabad for extending social service, 1999; stressed for time-bound programmes to be undertaken such as establishing Central Memorial of Dr. B.R. Ambedkar at Deeksha Bhoomi, Nagpur, 26, Alipore Road, New Delhi and at Mahu, Madhya Pradesh","Took active part in political and social activities since student days; thirty years continuous career as Member, Maharashtra Legislative Council and retired on 27 July 1994; pioneer work done in association with Shri V.P. Naik, the then Chief Minister, Maharashtra and Shri V.S. Page, the then Chairman, Maharashtra Legislative Council in introducing Employment Guarantee Scheme in Maharashtra State in 1975; President, Republican Party of India; Vice-President, (i) World Fellowship of Buddhists - elected unanimously in the Meeting of the Central General Council of the World Fellowship of Buddhists at Bangkok on 23 November 1980 and (ii) World Fellowship of Buddhists, re-elected in 1998; was Chairman, (i) Sub-Committee of State Board of Religious and Linguistic Minorities, Maharashtra and (ii) Reception Committee of the 62nd All India Marathi Sahitya Sammelan held at Amravati (Maharashtra) from 21-23 January 1989; Chairman, (i) Dr. Babasaheb Ambedkar Smarak Samiti, Deeksha Bhoomi, Nagpur and (ii) Dr. Babasaheb Ambedkar Shikshan Prasarak Mandal, Amravati; Nominated, (i) Vice-President of State Level Committee on Dr. B.R. Ambedkar's Writings and Speeches (Maharashtra) and (ii) Member of the State Level Peace Committee for maintaining peace and harmony in the State, particularly in Bombay after communal riots, which was formed under the Presidentship of the Governor of Maharashtra; was Member, (i) Birth Centenary Celebration Committee of Dr. B.R. Ambedkar under the Presidentship of the then Prime Minister Shri V.P. Singh, Shri Chandra Shekhar and Shri P.V. Narasimha Rao, (ii) Standing Committee of the National Celebration of Birth Centenary of Dr. B.R. Ambedkar for maintaining Unity and Integrity of the Nation under the Chairmanship of the then Prime Minister Shri Narasimha Rao and (iii) Land Reforms Committee, Government of India; Executive Member, Buddha's Life International Association, Head Quarters in Taiwan and Los Angeles (U.S.A.); attended, (i) the 15th Commonwealth Parliamentary Conference held at Trinidad and Tobago, 1969, (ii) 20th Commonwealth Parliamentary Conference held at Colombo (Sri Lanka), 1974, (iii) the Commonwealth Parliamentary Association Conference at Lusaka (Zambia), 1980, (iv) as a delegate, the First Asian Conference on Population and Development held at Beijing (China) in October-November 1981, (v) as a delegate, the Asian Peace Conference held at Moscow (U.S.S.R.) and Mongolia in September 1984, (vi) 13 to 19 General Conferences of the World Fellowship of Buddhists held at Bangkok(Thailand), Colombo(Sri Lanka), August 1984, Kathmandu (Nepal), November 1986, Los Angeles(U.S.A.), November 1988, Seoul (South Korea), October 1990, Taiwan, October-November 1992 and again at Bangkok, November 1994 and (vii) Executive Council Meeting of World Fellowship of Buddhists, Bangkok, March 1988 and Kyoto (Japan), August 1989, Australia, 1998 and Nepal, 1999; represented, the Maharashtra Branch of Parliamentary Association at the Anniversary Celebration of Parliament of Bahamas at Nasau, September 1970; visited, (i) U.S.S.R., as a delegate of Indo-Soviet Cultural Society, participated in the celebrations of the 5th Anniversary of the Indo-Soviet Treaty and the Month of Friendship and Solidarity with India, observed by the Indo-Soviet Friendship Society in U.S.S.R., July-August 1976, (ii) U.S.A., to study the electoral process of Presidential Election in America,1980, (iii) North Korea, as a delegate of the Indo-Korean Friendship Association, October-November 1986 and (iv) Malaysia, in a delegation with the President of India, 2001; submitted, reports to the Government of Maharashtra on important subjects: (i) Report of the Study Team on Leprosy, Maharashtra, (ii) Report of the Committee to probe into malpractices and irregularities under the Employment Guarantee Scheme, Maharashtra and (iii) Report on Riots"
6,No,"France, Germany, Hungary, Bulgaria, Czechoslovakia, Poland, erstwhile U.S.S.R., Cuba, Vietnam, China, Philippines, etc.",,Football,Trade Union work,Associated with (i) All India Students' Federation and (ii) All India Youth Federation
7,No,"Jakarta (Indonesia), Thailand and Singapore as member of the I.P.U. delegation; Switzerland, France and England, as member, Parliamentary Network on World Bank",,Reading,Agriculture and participation in social movements,"Was involved in Jai Prakash Narain's movement, Dalit Sangharsh Samiti movements and Ryot movements in Karnataka; Working President, District Janata Dal, Hassan"
8,No,"U.S.A., U.K., Europe, Japan, U.S.S.R., East European countries, Mexico, etc. for study of plant engineering practices, capital equipment sourcing and technical collaborations; Malaysia, Egypt, Algeria and British Guyana for exploring prospects of setting up engineering units; Taiwan, Hong Kong, Singapore, Bangladesh, Austria, Lebanon, Syria, Kuwait, Caribbean countries and Belarus",,"President, (i) B.H.U. Alumni Association, Mumbai, (ii) Madan Mohan Malviya Smarak Samiti and (iii) Dr. Mookerjee Smriti Nyas, Delhi; Charter President, Lions Club Kaliwada, Mumbai, 1976; Member, (i) Adarsh Ramlila Samiti, (ii) Central Committee, All-India Vaishya Mahasammelan, (iii) Bharat Vikas Parishad, (iv) Hindustan Prakashan Sansthan, Mumbai and (v) Bharatiya Jan Kalyan Society, Mumbai; Trustee, (i) Management Committee, Lok Kalyan Nyas, Delhi and (ii) Agroha Vikas Trust; Founder Member, Parliamentarians for Friendship with Taiwan; associated with National Advisory Committee of the 'World Association for Small and Medium Enterprises'; reading contemporary global literature on business management, political and sociological subjects, history, fiction, sight-seeing, films and T.V. serials","Patron, (i) 'Mahamana Malviya Mission' - promoting thoughts of the founder of BHU, (ii) 'Udyog Bharati' - working with technology experts in development and industrialization of agriculture, President, 'Antar-Rashtriya Sahayog Parishad' - an organization working for developing contacts with Non-Resident Indians and People of Indian Origin; Founder Editor, Nirbhay Pathik, Hindi Daily, Mumbai; awarded 'Distinguished Alumnus Award' by Banaras Hindu University, 1997-98; promoted young entrepreneurs in projects of Science and Engineering models through Akhil Bharatiya Vidyarthi Parishad; women empowerment, slums development and upliftment of Adivasis through ""Friends of Tribal Society"" that is working for overall development and upgrading the life of tribals in India especially in education and health and sanitation","Technocrat with concentration in design, development manufacture and import substitution of capital equipment; now in steel forging of automobile and petrochemical industries; Former Chairman, (i) Pradeep Metals Ltd., Mumbai, (ii) Janakalyan Sahakari Bank Ltd., Mumbai (scheduled bank, ranks among the top 15 urban cooperative banks in India) and (iii) Maharashtra State Financial Corporation; associated with Bharatiya Jana Sangh, Janata Party, Bharatiya Janata Party; full time R.S.S. worker after engineering education; academic affiliation : Fellow, Institution of Engineers (India); as Minister of Shipping, took number of initiatives in port transport development, training and inland water transport and industrial relations"
9,Yes,"Most of the countries of Europe, Kenya, Malawi, Egypt and Nepal",Edited Hindi weekly Apna Desh and Haryana Kesri for long time,"Reading, writing, literature, travelling, sight-seeing and enjoying cultural programmes, especially folk songs and dances","Working for the uplift of Harijans and backward classes and for spreading education, particularly in rural areas","A true follower of Gandhi, Nehru and Vinobaji; participated in the Freedom Struggle; established Parja Mandal in erstwhile Jind State in pre-independence period; launched agitation for establishment of a responsible Government in Jind State and was imprisoned several times; waged struggle against the practice of untouchability and got Harijans the right to enter temples and use wells in his area; undertook several padyatras, collected thousands of acres of land and distributed it among the landless during the Bhoodan Movement and became Vinobaji's trusted sewak; fought against social evils like dowry system, child marriage and stood for widow remarriage; started the tradition of community-marriages without dowry; worked for spreading education by upgrading existing schools/colleges and opening new ones; Chief Patron, All India Vaish Federation; Patron, Maharaj Agrasen Medical Education & Scientific Research Society, Haryana; Trustee, Vaish Mahavidyalaya Trust which runs (i) Vaish Senior Secondary School and (ii) Vaish Model School; Trustee and Member, Haryana Prakritik Chikitsalaya; President, Managing Committee, (i) Vaish P.G. Boys College, (ii) Adarsh Mahila Mahavidyalaya and (iii) All India Agarwal Sammelan; was Minister for several years"
10,No,"Travelled extensively all over the world; attended and addressed (i) the 55th Plenary Session of the United Nations General Assembly, 25 October 2000, (ii) the 57th Plenary Session of the United Nations General Assembly, 20 November 2002 and (iii) the 66th Session of the United Nations General Assembly, November 2011",,"Member, (i) India Habitat Centre and (ii) Chancellor Club; jogging, sports, cricket and table tennis","President, Rashtriya Vaish Parishad; actively engaged in various ongoing schemes and programmes aimed at improving the economic conditions of poor widows and helpless people; committed and devoted to educational and social upliftment of the downtrodden; participated in various conferences and seminars in India and abroad; special interest in corporate governance with emphasis upon investor protection",
