srno,member_name,party,state_ut,status,age,term
1,"Roy, Shri Jibon",Communist Party of India (Marxist),West Bengal,Former,85.0,"2 (1993–1999, 1999–2005)"
2,"Singh, Dr. Manmohan",Indian National Congress,Rajasthan,Former,93.0,"6 (1991–1995, 1995–2001, 2001–2007, 2007–2013, 2013–2019, 2019–2024)"
3,"Joshi, Shri Kailash",Bharatiya Janata Party,Madhya Pradesh,Former,96.0,1 (2000–2006)
4,"Salim, Shri Md.",Communist Party of India (Marxist),West Bengal,Former,68.0,"2 (1990–1996, 1996–2002)"
5,"Gavai, Shri R.S.",Republican Party of India,Maharashtra,Former,96.0,1 (2000–2006)
6,"Singh, Shri Gaya",Communist Party of India,Bihar,Former,81.0,"2 (1992–1998, 1998–2004)"
7,"Gowda, Shri H.K. Javare",Janata Dal,Karnataka,Former,75.0,1 (1998–2004)
8,"Goyal, Shri Vedprakash P.",Bharatiya Janata Party,Maharashtra,Former,99.0,"2 (1996–2002, 2002–2008)"
9,"Gupta, Shri Banarsi Das",Indian National Congress,Haryana,Former,108.0,1 (1996–2002)
10,"Gupta, Shri Prem Chand",Rashtriya Janata Dal,Bihar,Sitting,75.0,"5 (1996–2002, 2002–2008, 2008–2014, 2014–2020, 2020–2026)"
11,"Haji, Shri Korambayil Ahammed",Muslim League,Kerala,Former,94.0,1 (1998–2004)
12,"Hamdard, Shri Barjinder Singh",Independent & Others,Punjab,Former,81.0,1 (1998–2004)
13,"Margabandu, Shri R.",All India Anna Dravida Munnetra Kazhagam,Tamil Nadu,Former,91.0,1 (1995–2001)
14,"Masthan, Dr. D.",Independent & Others,Tamil Nadu,Former,68.0,1 (1995–2001)
15,"Mattathil, Shri M.J. Varkey",Kerala Congress,Kerala,Former,88.0,1 (1998–2004)
16,"Meena, Shri Moolchand",Indian National Congress,Rajasthan,Former,70.0,"2 (1992–1998, 2000–2006)"
17,"Mehta, Shri Lalitbhai",Bharatiya Janata Party,Gujarat,Former,88.0,1 (1999–2005)
18,"Gautam, Shri Sangh Priya",Bharatiya Janata Party,Uttarakhand,Former,94.0,"3 (1990–1996, 1998–2000, 2000–2004)"
19,"Roy Chowdhury, Shri Shankar",Independent & Others,West Bengal,Former,88.0,1 (1999–2005)
20,"Rumandla Ramchandraiah, Shri",Telugu Desam Party,Andhra Pradesh,Former,75.0,1 (1998–2004)
21,"Hasan, Shri Munavvar",Samajwadi Party,Uttar Pradesh,Former,61.0,1 (1998–2004)
22,"Hegde, Shri Ramakrishna",Janata Party,Karnataka,Former,99.0,"2 (1978–1984, 1996–2002)"
23,"Heptulla, Dr. Najma A.",Bharatiya Janata Party,Madhya Pradesh,Former,85.0,"6 (1980–1986, 1986–1992, 1992–1998, 1998–2004, 2004–2010, 2012–2018)"
24,"Hiphei, Shri",CONG(I),Mizoram,Former,88.0,"2 (1990–1996, 1996–2002)"
25,"Ibrahim, Shri C.M.",Janata Dal,Karnataka,Former,72.0,1 (1996–2002)
26,"Jamir, Shri C. Apok",Indian National Congress,Nagaland,Former,64.0,1 (1998–2004)
27,"Jaitley, Shri Arun",Bharatiya Janata Party,Uttar Pradesh,Former,73.0,"4 (2000–2006, 2006–2012, 2012–2018, 2018–2024)"
28,"Judev, Shri Dilip Singh",Bharatiya Janata Party,Chhattisgarh,Former,76.0,"3 (1992–1998, 1998–2004, 2004–2010)"
29,"Jethmalani, Shri Ram",Rashtriya Janata Dal,Bihar,Former,102.0,"6 (1988–1994, 1994–2000, 2000–2006, 2006–2009, 2010–2016, 2016–2022)"
